"Sie haben folgende Auswahl für die Qualitätsdaten-Abfrage getroffen"
"Messstellentyp: Isotopen"

"Messstellen"
"Anzahl Messstellen: 24"
"Messstellen: IN70000007 Sillian, IN70000008 St. Jakob / Defreggen, IN70000053 Hochfilzen, IN70000056 Kufstein, IN70000057 Pertisau, "
"IN70000058 Achenkirch, IN70000059 Steinberg / Rofan, IN70000060 Hinterriß, IN70000061 Scharnitz, IN70000062 Seefeld / Tirol, "
"IN70000063 Gries / Brenner, IN70000064 Patscherkofel, IN70000065 Innsbruck (Universität), IN70000066 St.Martin / Gnadenwald, "
"IN70000067 Gerlos, IN70000068 Obergurgl, IN70000069 Längenfeld, IN70000070 Haiming, IN70000071 Fernpaß, IN70000072 Reutte, "
"IN70000074 Nauders, IN70000075 St.Anton / Arlberg, IN70000088 Nassereith, IN70000089 Innsbruck / Flughafen"
"Übergebene Messstellen, die in der Detailansicht nicht angezeigt werden sind im untersuchten Zeitraum nicht beprobt worden!"

"Parameter"
"Parameter: I100 Lfd. Nummer, I101 Probenahme-Beginn TT-MM-JJJJ, I102 Probenahme-(Ende) TT-MM-JJJJ, I103 Flaschengewicht g, "
"I104 Niederschlag - Monatssumme (mm), I105 Laborcode - Niederschlag I104, I106 Niederschlag - Art, I107 Lufttemperatur - Monatsmittel (°C), "
"I108 Laborcode - Lufttemperatur I107, I109 potentielle Verdunstung - Monatssumme (mm), I110 Laborcode - pot. Verdunstung I110, "
"I111 Pegelstand cm, I112 Durchfluss m³/s, I114 Delta 18O (? VSMOW), I115 Messgenauigkeit Delta 18O (?), I116 Laborcode - 18O I114, "
"I117 Delta  2H (? VSMOW), I118 Messgenauigkeit Delta 2H (?), I119 Laborcode - Deuterium I117, I120 Tritium - 3H (TE), "
"I121 Messgenauigkeit Tritium 3H, I122 Laborcode - Tritium I120, I123 freies Luftvolumen (ml) bis 2003"

"Zeitraum der Abfrage"
"Januar 1990 bis Dezember 2024"
"Probenzuordnung: GZÜV, Land"

"Definition der Ausgabe"
"Parameter werden in Spalten angezeigt."
"Leere Ergebniszeilen werden gelöscht."
"Zu Messobjekten anzeigen: GZÜV-ID, Name, Gemeinde, Höhe Messpunkt"
"Zu Parametern anzeigen: Parameter Nummer, Vollständige Bezeichnung"
"Format von Dezimalzahlen: Dezimalpunkt (.)"

"Abfrage durchgeführt durch Öffentlicher Benutzer am Mittwoch, 3. Juli 2024 um 13:37"

------------------------------------------------------------------------------------------------------------------------------------------------------

GZÜV-ID;Name;Gemeindename;Höhe Messpunkt;Monat;I100;I101;I102;I103;I104;I105;I106;I107;I108;I109;I110;I111;I112;I114;I115;I116;I117;I118;I119;I120;I121;I122;I123;
GZÜV-ID;Name;Gemeindename;Höhe Messpunkt;Monat;Lfd. Nummer;Probenahme-Beginn TT-MM-JJJJ;Probenahme-(Ende) TT-MM-JJJJ;Flaschengewicht g;Niederschlag - Monatssumme (mm);Laborcode - Niederschlag I104;Niederschlag - Art;Lufttemperatur - Monatsmittel (°C);Laborcode - Lufttemperatur I107;potentielle Verdunstung - Monatssumme (mm);Laborcode - pot. Verdunstung I110;Pegelstand cm;Durchfluss m³/s;Delta 18O (? VSMOW);Messgenauigkeit Delta 18O (?);Laborcode - 18O I114;Delta  2H (? VSMOW);Messgenauigkeit Delta 2H (?);Laborcode - Deuterium I117;Tritium - 3H (TE);Messgenauigkeit Tritium 3H;Laborcode - Tritium I120;freies Luftvolumen (ml) bis 2003;
"IN70000007";"Sillian";"Sillian";"1075";"Jan 1990";"";"01.01.1990";"31.01.1990";"";"3";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-10.51";"";"Seibersdorf Research-Arsenal";"";"";"";"13.6";"1.7";"Seibersdorf Research-Arsenal";"850";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 1990";"";"01.03.1990";"31.03.1990";"";"70";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-15.73";"";"Seibersdorf Research-Arsenal";"";"";"";"17";"0.9";"Seibersdorf Research-Arsenal";"0";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 1990";"";"01.04.1990";"30.04.1990";"";"55";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-14.17";"";"Seibersdorf Research-Arsenal";"";"";"";"9.53";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 1990";"";"01.05.1990";"31.05.1990";"";"67";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-5.76";"";"Seibersdorf Research-Arsenal";"";"";"";"20.6";"1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 1990";"";"01.06.1990";"30.06.1990";"";"114";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-7.35";"";"Seibersdorf Research-Arsenal";"";"";"";"16.4";"0.8";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 1990";"";"01.07.1990";"31.07.1990";"";"118";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-7.69";"";"Seibersdorf Research-Arsenal";"";"";"";"18.4";"0.9";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 1990";"";"01.08.1990";"31.08.1990";"";"119";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-8.09";"";"Seibersdorf Research-Arsenal";"";"";"";"22.3";"1.2";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 1990";"";"01.09.1990";"30.09.1990";"";"58";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-8.42";"";"Seibersdorf Research-Arsenal";"";"";"";"11.8";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 1990";"";"01.10.1990";"31.10.1990";"";"80";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-12.51";"";"Seibersdorf Research-Arsenal";"";"";"";"7.06";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 1990";"";"01.11.1990";"30.11.1990";"";"183";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-14.36";"";"Seibersdorf Research-Arsenal";"";"";"";"5.84";"0.5";"Seibersdorf Research-Arsenal";"10";
