"Sie haben folgende Auswahl für die Qualitätsdaten-Abfrage getroffen"
"Messstellentyp: Grundwasser"

"Messstellen"
"Anzahl Messstellen: 48"
"Messstellen: KK71130012, KK71130022, KK71210032, KK71210042, KK71210052, KK71210062, KK71230022, KK71230032, KK71230042, KK71230062, KK71250012, "
"KK71250042, KK71250052, KK71250072, KK71250082, KK71250092, KK71250122, KK71250132, KK71250142, KK71250152, KK71250172, KK71250182, "
"KK71260022, KK71260032, KK71260042, KK71260052, KK71310012, KK71310032, KK71320012, KK71340012, KK71340022, KK71410022, KK71410052, "
"KK72120012, KK72240012, KK72250032, KK72310032, KK72330012, KK72330022, KK72330032, KK72340032, KK72350022, KK72420012, KK72510012, "
"KK72510022, KK72510032, KK73710012, KK73710032"
"Übergebene Messstellen, die in der Detailansicht nicht angezeigt werden sind im untersuchten Zeitraum nicht beprobt worden!"

"Parameter"
"Parameter: G102 ENTNAHME-DATUM, G107 LUFTTEMPERATUR IN °C, G111 GERUCH, G113 FAERBUNG, G114 TRUEBUNG, G116 WASSERTEMPERATUR °C, G118 PH-WERT, "
"G119 SAUERSTOFFGEHALT mg/l, G121 REDOXPOTENTIAL mV, G122 GESAMTHAERTE °dH, G123 KARBONATHAERTE °dH, G130 FREIE KOHLENSAEURE mg/l, "
"G134 CALCIUM mg/l, G135 MAGNESIUM mg/l, G136 NATRIUM mg/l, G137 KALIUM mg/l, G138 EISEN mg/l, G139 MANGAN mg/l, G151 BOR mg/l, "
"G152 AMMONIUM mg/l, G153 NITRIT mg/l, G154 NITRAT mg/l, G155 CHLORID mg/l, G156 SULFAT mg/l, G157 HYDROGENK. mg/l, G159 ORTHOPHOSPHAT mg/l, "
"G160 KIESELSAEURE mg/l, G161 FLUORID mg/l, G164 DOC mg/l, G165 TOC mg/l, G223 QUELLSCHÜTTUNG l/s, G226 TRITIUM TE, G227 DEUTERIUM d 0/00, "
"G228 SAUERSTOFF 18 d 0/00, G285 RADON-222 Bq/l, G366 ELEKTR. LEITF. (bei 20°C) µS/cm, G421 CADMIUM µg/l, G422 QUECKSILBER µg/l, "
"G423 ZINK µg/l, G424 KUPFER µg/l, G425 ALUMINIUM µg/l, G426 BLEI µg/l, G427 CHROM-GESAMT (filtriert) µg/l, G428 NICKEL µg/l, "
"G429 ARSEN µg/l, G433 URAN µg/l"

"Zeitraum der Abfrage"
"Quartal 1 1990 bis Quartal 4 2024"
"Probenzuordnung: GZÜV, Land"

"Definition der Ausgabe"
"Parameter werden in Spalten angezeigt."
"Leere Ergebniszeilen werden gelöscht."
"Zu Messobjekten anzeigen: GZÜV-ID, Gemeinde"
"Zu Parametern anzeigen: Parameter Nummer, Vollständige Bezeichnung"
"Format von Dezimalzahlen: Dezimalpunkt (.)"

"Abfrage durchgeführt durch Öffentlicher Benutzer am Donnerstag, 4. Juli 2024 um 09:05"

------------------------------------------------------------------------------------------------------------------------------------------------------

GZÜV-ID;Gemeindename;Quartal;G102;G107;G111;G113;G114;G116;G118;G119;G121;G122;G123;G130;G134;G135;G136;G137;G138;G139;G151;G152;G153;G154;G155;G156;G157;G159;G160;G161;G164;G165;G223;G226;G227;G228;G285;G366;G421;G422;G423;G424;G425;G426;G427;G428;G429;G433;
GZÜV-ID;Gemeindename;Quartal;ENTNAHME-DATUM;LUFTTEMPERATUR IN °C;GERUCH;FAERBUNG;TRUEBUNG;WASSERTEMPERATUR °C;PH-WERT;SAUERSTOFFGEHALT mg/l;REDOXPOTENTIAL mV;GESAMTHAERTE °dH;KARBONATHAERTE °dH;FREIE KOHLENSAEURE mg/l;CALCIUM mg/l;MAGNESIUM mg/l;NATRIUM mg/l;KALIUM mg/l;EISEN mg/l;MANGAN mg/l;BOR mg/l;AMMONIUM mg/l;NITRIT mg/l;NITRAT mg/l;CHLORID mg/l;SULFAT mg/l;HYDROGENK. mg/l;ORTHOPHOSPHAT mg/l;KIESELSAEURE mg/l;FLUORID mg/l;DOC mg/l;TOC mg/l;QUELLSCHÜTTUNG l/s;TRITIUM TE;DEUTERIUM d 0/00;SAUERSTOFF 18 d 0/00;RADON-222 Bq/l;ELEKTR. LEITF. (bei 20°C) µS/cm;CADMIUM µg/l;QUECKSILBER µg/l;ZINK µg/l;KUPFER µg/l;ALUMINIUM µg/l;BLEI µg/l;CHROM-GESAMT (filtriert) µg/l;NICKEL µg/l;ARSEN µg/l;URAN µg/l;
"KK71130012";"Häselgehr";"Q3 1996 (9610)";"23.09.1996";"12";"geruchlos";"farblos ";"keine Trübung";"6.3";"8.07";"10.2";"";"6.35";"6.14";"";"26.6";"11.5";"<1";"<2";"[0,012]";"[0,013]";"<0,02";"<0,0078";"<0,003";"1.09";"<1";"4.08";"133.9";"<0,0049";"";"[0,08]";"0.827";"";"946";"";"";"";"";"303.76344";"[0,05]";"[0,06]";"[4,6]";"<1";"14";"[0,2]";"[0,3]";"[0,5]";"[0,7]";"";
"KK71130012";"Häselgehr";"Q4 1996 (9620)";"12.11.1996";"17";"geruchlos";"farblos ";"keine Trübung";"6.6";"7.97";"10.3";"";"7.6";"6.22";"";"33.9";"12.4";"<1";"<2";"[0,012]";"[0,013]";"<0,02";"[0,002]";"[0,002]";"1.09";"<1";"24.97";"135.6";"[0,003]";"";"0.2";"<0,5";"";"547";"";"";"";"";"226.70251";"<0,2";"[0,06]";"[0,01]";"[0,6]";"12";"[0,6]";"[0,6]";"6";"[0,5]";"";
"KK71130012";"Häselgehr";"Q1 1997 (9630)";"05.02.1997";"3";"geruchlos";"farblos ";"keine Trübung";"6.8";"8.01";"7.76";"";"9.89";"7.12";"";"43.8";"16.4";"1.51";"<2";"";"";"<0,02";"[0,002]";"[0,001]";"1.05";"<1";"52.77";"155.2";"<0,015";"";"0.206";"0.744";"";"187";"20.4";"";"-13.42";"";"298.3871";"";"[0,06]";"";"";"";"";"";"";"";"";
"KK71130012";"Häselgehr";"Q2 1997 (9640)";"14.05.1997";"22";"geruchlos";"farblos ";"keine Trübung";"6.4";"7.84";"10.85";"";"5.56";"5.46";"";"24.2";"9.49";"<1";"<2";"[0,011]";"[0,008]";"<0,02";"<0,01";"<0,01";"1.88";"[0,26]";"2.97";"119";"<0,006";"";"[0,08]";"0.901";"";"1120";"15.8";"";"-13.64";"";"167.56272";"[0,07]";"[0,06]";"<10";"<1";"15";"[0,6]";"[0,6]";"[0,5]";"[0,5]";"";
"KK71130012";"Häselgehr";"Q3 1997 (9710)";"30.07.1997";"23.5";"geruchlos";"farblos ";"keine Trübung";"5.7";"8.16";"10.77";"";"5.71";"5.14";"";"23.2";"10.7";"<1";"<2";"[0,00001]";"[0,013]";"<0,02";"0.012";"<0,01";"<1";"<1";"8.23";"112";"<0,015";"";"[0,08]";"1.304";"";"818";"16.3";"";"-12.83";"";"177.41935";"[0,12]";"[0,04]";"[4,6]";"[0,4]";"21";"[0,7]";"[0,6]";"[0,7]";"[0,5]";"";
"KK71130012";"Häselgehr";"Q4 1997 (9720)";"22.10.1997";"11";"geruchlos";"farblos ";"keine Trübung";"6.3";"8.25";"10.55";"";"5.68";"5.7";"";"24.4";"9.84";"<1";"<2";"";"";"<0,02";"[0,001]";"<0,01";"1.02";"[0,17]";"3.75";"124.3";"<0,015";"";"[0,08]";"1.025";"";"708";"13.6";"";"-12.16";"";"180.10753";"";"";"";"";"";"";"";"";"<1";"";
"KK71130012";"Häselgehr";"Q1 1998 (9730)";"28.01.1998";"-1";"geruchlos";"farblos ";"keine Trübung";"6.6";"7.93";"8.68";"";"9.98";"7";"";"44.1";"16.6";"1.56";"<2";"";"";"<0,02";"<0,01";"<0,01";"1.12";"<1";"57.64";"152.5";"<0,015";"";"0.2";"<0,5";"";"187";"16.2";"";"-13.27";"";"302.86738";"";"";"";"";"";"";"";"";"[0,5]";"";
"KK71130012";"Häselgehr";"Q2 1998 (9740)";"08.04.1998";"10";"geruchlos";"farblos ";"keine Trübung";"6.5";"7.42";"10.37";"";"6.04";"5.88";"";"26.1";"10.4";"<1";"<2";"";"";"<0,02";"[0,001]";"<0,01";"1.52";"<1";"6.57";"128.3";"[0,002]";"";"0.1";"0.88";"";"425";"13.7";"";"-13.77";"";"187.27599";"";"";"";"";"";"";"";"";"<1";"";
"KK71130012";"Häselgehr";"Q3 1998 (9810)";"13.07.1998";"23";"geruchlos";"farblos ";"keine Trübung";"6.8";"8";"10.77";"";"5.27";"5.35";"";"21.4";"9.92";"<1";"<2";"<0,02";"[0,0008]";"<0,02";"<0,01";"[0,0017]";"1.08";"[0,165]";"2.65";"116.5";"<0,015";"";"";"1.38";"";"889";"17.2";"";"-12.77";"";"161.29032";"[0,04]";"[0,03]";"<20";"4.44";"<10";"3.85";"1.95";"<1";"[0,17]";"";
